"POSITION HOLDER
DETENTEUR DE LA POSITION","NOM DE LՃMETTEUR
NAME OF THE ISSUER",ISIN,"POSITION COURTE NETTE DETENUE EN %
NET SHORT POSITION SIZE IN PERCENTAGE","DATE DE POSITION (AAAA-MM-JJ)
POSITION DATE (YYYY-MM-DD)"
MARSHALL WACE LLP,UBISOFT ENTERTAINMENT,FR0000054470,0.57,2023-11-30
"SUSQUEHANNA INTERNATIONAL GROUP
LTD",GROUPE FNAC,FR0011476928,0.81,2013-08-05
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.48,2023-10-04
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.92,2019-08-07
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.73,2023-09-19
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.17,2019-07-04
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.78,2021-06-17
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.90,2023-10-13
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,0.90,2023-01-17
VOLEON CAPITAL MANAGEMENT LP,GENFIT,FR0004163111,1.86,2020-08-12
MARSHALL WACE LLP,RENAULT,FR0000131906,1.49,2022-12-13
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.70,2023-06-14
ETON PARK INTERNATIONAL LLP,INGENICO,FR0000125346,0.52,2016-10-04
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.70,2022-11-21
AKO CAPITAL LLP,SPIE SA,FR0012757854,1.04,2023-09-06
LAZARD ASSET MANAGEMENT LIMITED,NACON,FR0013482791,0.55,2021-11-10
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",VALLOUREC,FR0000120354,0.22,2020-04-03
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.91,2022-02-11
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.09,2023-01-02
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.07,2023-02-09
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.87,2023-04-21
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.29,2022-03-31
BG Master Fund ICAV,ORPEA,FR0000184798,0.57,2023-11-24
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.38,2023-09-25
"BRIDGEWATER ASSOCIATES, LP",KERING,FR0000121485,0.45,2020-03-17
MARSHALL WACE LLP,ERAMET,FR0000131757,0.81,2019-10-02
LIONTRUST INVESTMENT PARTNERS LLP,ACTIA GROUP,FR0000076655,0.45,2020-05-27
AKO CAPITAL LLP,SPIE SA,FR0012757854,0.94,2023-09-05
"ADAGE CAPITAL MANAGEMENT, L.P.",CELLECTIS,FR0010425595,0.61,2023-11-02
ZIMMER PARTNERS LP,EIFFAGE,FR0000130452,0.34,2020-03-17
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.29,2022-08-31
"SCULPTOR CAPITAL MANAGEMENT
EUROPE LIMITED",VALLOUREC,FR0013506730,0.70,2020-09-16
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.60,2023-02-28
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.69,2023-08-30
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.43,2023-09-21
MARSHALL WACE LLP,CAPGEMINI,FR0000125338,0.61,2023-10-27
"AQR CAPITAL MANAGEMENT, LLC",SEB S.A.,FR0000121709,0.49,2020-08-31
"AQR CAPITAL MANAGEMENT, LLC",AIR FRANCE-KLM,FR0000031122,0.48,2020-08-26
AKO CAPITAL LLP,SPIE SA,FR0012757854,0.75,2023-08-24
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,2.26,2023-11-14
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.59,2023-10-20
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.91,2022-11-18
MARSHALL WACE LLP,CGG,FR0013181864,1.13,2023-10-13
"WORLDQUANT, LLC",EUROAPI,FR0014008VX5,1.17,2023-11-06
"BLACKROCK INSTITUTIONAL TRUST
COMPANY NATIONAL ASSOCIATION",AKKA TECHNOLOGIES,FR0004180537,0.37,2020-11-10
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON CORPORATION,FR0004548873,1.71,2019-05-24
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.62,2023-09-06
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.53,2023-06-14
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,0.34,2020-03-12
"D. E. SHAW & CO. (LONDON), LLP",UBISOFT ENTERTAINMENT,FR0000054470,0.98,2023-09-04
GMT CAPITAL CORP,CASINO GUICHARD-PERRACHON,FR0000125585,0.48,2021-01-08
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.00,2020-02-28
NATIXIS SA,SOITEC,FR0013227113,0.90,2022-07-05
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.63,2022-07-01
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.79,2021-01-06
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",REXEL,FR0010451203,0.37,2021-01-15
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.89,2023-02-28
THUNDERBIRD PARTNERS LLP,EUROFINS SCIENTIFIC SE,FR0000038259,0.42,2020-08-20
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.73,2022-10-05
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.71,2017-10-13
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.80,2022-10-18
"BLACKWELL PARTNERS, LLC",ARTPRICE.COM,FR0000074783,0.82,2013-03-19
GLADSTONE CAPITAL MANAGEMENT LLP,KLEPIERRE,FR0000121964,0.46,2020-11-10
MARSHALL WACE LLP,EDENRED,FR0010908533,0.53,2023-11-03
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.99,2022-06-20
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.10,2022-04-04
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.05,2023-11-15
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.20,2019-07-05
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.07,2023-01-09
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",EUTELSAT COMMUNICATIONS,FR0010221234,0.84,2020-05-27
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,2.12,2023-07-31
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.02,2019-10-07
CITADEL EUROPE LLP,LEGRAND,FR0010307819,0.46,2020-03-17
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.92,2022-09-28
MARSHALL WACE LLP,CAPGEMINI,FR0000125338,0.60,2023-11-23
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.60,2023-09-01
MELQART ASSET MANAGEMENT (UK) LTD,CGG,FR0013181864,0.26,2020-11-24
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.62,2020-03-04
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.74,2020-10-05
MARSHALL WACE LLP,RENAULT,FR0000131906,1.57,2022-05-24
"NAYA MANAGEMENT CAPITAL
MANAGEMENT UK LIMITED",EUROFINS SCIENTIFIC SE,FR0000038259,0.44,2020-03-09
MUDDY WATERS CAPITAL LLC,SOLUTIONS 30 SE,FR0013379484,0.21,2021-01-27
MACKAY SHIELDS LLC,SOLOCAL GROUP,FR0012938884,0.50,2018-05-10
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,0.84,2023-01-13
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,4.82,2023-11-14
B&G MASTER FUND PLC,ORPEA,FR0000184798,0.81,2022-10-10
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,4.21,2023-11-06
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.90,2023-09-21
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.00,2023-05-25
MARSHALL WACE LLP,CGG,FR0013181864,0.95,2023-10-05
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.12,2023-06-19
MARSHALL WACE LLP,EUROAPI,FR0014008VX5,0.68,2023-11-08
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.69,2017-12-13
MARSHALL WACE LLP,CGG,FR0013181864,1.62,2023-10-25
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,1.40,2023-07-03
GSA CAPITAL PARTNERS LLP,MC PHY ENERGY,FR0011742329,0.60,2023-10-13
CITADEL ADVISORS LLC,PIXIUM VISION,FR0011950641,0.39,2021-03-08
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.59,2022-12-08
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.08,2022-12-09
CITADEL ADVISORS LLC,AIR FRANCE-KLM,FR0000031122,0.45,2020-09-08
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.23,2022-03-02
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.72,2023-10-26
ALTAIR INVESTMENT MANAGEMENT LTD,AKKA TECHNOLOGIES,FR0004180537,0.21,2020-10-06
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.82,2023-09-22
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.53,2020-03-06
MARSHALL WACE LLP,IMERYS,FR0000120859,0.48,2020-03-13
PSQUARED ASSET MANAGEMENT AG,SES IMAGOTAG,FR0010282822,0.50,2023-01-04
MARSHALL WACE LLP,CGG,FR0013181864,1.94,2023-11-02
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.12,2023-11-17
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.12,2023-02-23
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.13,2019-11-26
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,2.54,2022-11-15
NATIXIS SA,NEXITY,FR0010112524,0.75,2023-11-03
"WESTCHESTER CAPITAL MANAGEMENT,
LLC",PEUGEOT S.A.,FR0000121501,0.49,2021-01-12
VOLEON CAPITAL MANAGEMENT LP,ABIVAX,FR0012333284,0.50,2021-06-01
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.88,2023-10-03
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.23,2021-12-17
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.91,2023-03-01
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",WORLDLINE,FR0011981968,0.33,2020-11-02
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUROAPI,FR0014008VX5,0.51,2022-12-08
MIRABELLA FINANCIAL SERVICES LLP,ALSTOM,FR0010220475,0.79,2022-10-05
HIGHBRIDGE CAPITAL MANAGEMENT LLC,NACON,FR0013482791,1.39,2021-02-12
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,1.22,2019-08-19
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.51,2020-03-10
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.37,2023-04-04
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,1.72,2023-11-03
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.94,2022-12-16
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.44,2023-10-16
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.42,2022-09-12
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,1.13,2023-01-25
MARSHALL WACE LLP,RENAULT,FR0000131906,1.49,2022-11-07
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.48,2020-03-09
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.10,2022-12-13
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.54,2020-03-11
CITADEL EUROPE LLP,SODEXO,FR0000121220,0.41,2020-04-06
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.17,2019-11-15
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.85,2018-12-07
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.86,2023-11-13
MARSHALL WACE LLP,CGG,FR0013181864,1.82,2023-10-30
B&G MASTER FUND PLC,ORPEA,FR0000184798,0.50,2022-07-05
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.75,2023-07-14
MELQART ASSET MANAGEMENT (UK) LTD,PEUGEOT S.A.,FR0000121501,0.49,2020-07-27
ALTAIR INVESTMENT MANAGEMENT LTD,AKKA TECHNOLOGIES,FR0004180537,0.85,2020-09-16
MARSHALL WACE LLP,RENAULT,FR0000131906,1.50,2022-06-08
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.23,2023-02-28
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.99,2023-01-09
PORTSEA ASSET MANAGEMENT LLP,LAGARDERE SCA,FR0000130213,0.41,2020-05-26
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",SOLOCAL GROUP,FR0012938884,0.47,2020-03-17
LMR PARTNERS LLP,GAZTRANSPORT ET TECHNIGAZ,FR0011726835,0.00,2022-11-07
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.34,2023-11-28
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.64,2021-11-18
MARSHALL WACE LLP,ERAMET,FR0000131757,1.32,2020-02-27
"CANADA PENSION PLAN INVESTMENT
BOARD",SOITEC,FR0013227113,0.79,2023-05-31
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.66,2022-11-17
MARSHALL WACE LLP,CGG,FR0013181864,1.76,2023-10-27
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.05,2022-07-20
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.07,2022-03-09
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.55,2023-03-23
MARSHALL WACE LLP,ERAMET,FR0000131757,0.78,2020-06-15
NATIXIS SA,NEXANS,FR0000044448,0.73,2022-07-28
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.99,2022-12-12
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.37,2022-12-12
NATIXIS SA,NEXITY,FR0010112524,0.59,2023-09-18
"KITE LAKE CAPITAL MANAGEMENT (UK)
LLP",ATOS SE,FR0000051732,0.51,2023-11-30
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.82,2023-10-02
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.69,2023-06-22
CAPITAL FUND MANAGEMENT,AIR FRANCE-KLM,FR001400J770,0.72,2023-11-30
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.74,2023-11-08
CQS UK LLP,NEOEN,FR0011675362,0.45,2021-02-25
WORLDQUANT LLC,LAGARDERE SCA,FR0000130213,0.50,2020-09-16
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,0.97,2019-08-07
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.11,2020-11-03
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.02,2023-09-05
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.90,2023-11-22
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.11,2023-06-15
MARSHALL WACE LLP,ERAMET,FR0000131757,0.91,2019-10-16
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.63,2020-03-12
CREDIT INDUSTRIEL ET COMMERCIAL,VALLOUREC,FR0013506730,0.58,2023-09-25
MARSHALL WACE LLP,RENAULT,FR0000131906,1.66,2022-07-08
MELQART ASSET MANAGEMENT (UK) LTD,ATOS SE,FR0000051732,1.51,2023-11-01
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.57,2023-10-05
AKO CAPITAL LLP,SPIE SA,FR0012757854,0.57,2023-08-23
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.99,2019-10-04
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.07,2023-07-12
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,2.18,2023-07-18
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.60,2021-02-04
null,null,null,null,null
CITADEL EUROPE LLP,FAURECIA,FR0000121147,0.42,2020-03-26
GSA CAPITAL PARTNERS L.L.P.,EUROPCAR MOBILITY GROUP,FR0012789949,0.48,2021-01-04
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.60,2023-05-08
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,3.20,2023-01-18
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.71,2023-11-13
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.02,2023-11-20
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.70,2023-08-28
ARROWSTREET CAPITAL,ORPEA,FR0000184798,0.49,2021-01-15
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,2.01,2023-10-16
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.71,2023-04-12
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.20,2022-07-28
PICTET ASSET MANAGEMENT LIMITED,EUROPCAR MOBILITY GROUP,FR0012789949,0.21,2021-01-26
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.79,2023-01-19
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.71,2022-04-11
MARSHALL WACE LLP,RENAULT,FR0000131906,1.14,2023-05-24
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.71,2023-07-25
"D.E. SHAW & CO. (LONDON), LLP",PEUGEOT S.A.,FR0000121501,0.00,2021-01-18
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.70,2020-01-02
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.17,2022-07-21
MARSHALL WACE LLP,RENAULT,FR0000131906,1.31,2022-04-27
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.76,2023-05-11
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.56,2023-10-30
RUBRIC CAPITAL MANAGEMENT LP,INNATE PHARMA,FR0010331421,0.23,2020-09-16
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,0.72,2019-03-08
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.85,2023-03-30
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.79,2023-01-05
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.53,2022-09-12
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.69,2023-02-17
MARSHALL WACE LLP,AIR FRANCE-KLM,FR001400J770,0.78,2023-11-02
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.69,2023-09-18
MIRABELLA FINANCIAL SERVICES LLP,ALSTOM,FR0010220475,0.47,2022-11-14
MARSHALL WACE LLP,RENAULT,FR0000131906,1.33,2023-02-02
"ECHO STREET CAPITAL MANAGEMENT,
LLC",EURONEXT NV,NL0006294274,0.49,2020-03-05
MARSHALL WACE LLP,RENAULT,FR0000131906,0.71,2022-03-29
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.80,2017-11-03
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.85,2023-02-15
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,1.82,2023-10-05
"BRIDGEWATER ASSOCIATES, LP",ORANGE,FR0000133308,0.49,2020-03-20
"EXODUSPOINT CAPITAL MANAGEMENT,
LP",ICADE,FR0000035081,0.46,2020-10-16
MARSHALL WACE LLP,RUBIS,FR0013269123,0.48,2020-06-05
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.22,2020-10-14
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.16,2023-07-04
MILLENNIUM CAPITAL PARTNERS LLP,CLARIANE SE,FR0010386334,0.63,2023-11-22
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.68,2023-10-26
BG Master Fund ICAV,ORPEA,FR0000184798,0.59,2023-10-13
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.11,2022-06-10
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,1.42,2020-01-16
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,1.31,2021-03-16
NATIXIS SA,NEXITY,FR0010112524,0.69,2023-10-06
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.99,2023-09-28
WORLDQUANT LLC,AIR FRANCE-KLM,FR0000031122,0.49,2020-03-16
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,1.16,2021-04-12
"POINT72 ASSET MANAGEMENT, L.P.",CGG,FR0013181864,0.52,2023-09-06
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,2.52,2022-12-13
MILLENNIUM CAPITAL PARTNERS LLP,ATOS SE,FR0000051732,1.00,2023-09-26
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.76,2023-09-13
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.24,2023-03-16
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.51,2021-11-16
LOMAS CAPITAL MANAGEMENT LLC,RALLYE,FR0000060618,0.33,2020-06-29
AKO CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,0.55,2022-07-28
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.86,2023-04-19
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.94,2023-03-03
GSA CAPITAL PARTNERS LLP,CELLECTIS,FR0010425595,0.68,2023-01-11
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.62,2022-10-28
MARSHALL WACE LLP,EUTELSAT COMMUNICATIONS,FR0010221234,0.60,2022-12-07
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,2.19,2023-11-21
"BLACKROCK INVESTMENT
MANAGEMENT, LLC",PEUGEOT S.A.,FR0000121501,0.00,2021-01-18
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",VALEO,FR0013176526,0.86,2023-10-27
POINT72 EUROPE (LONDON) LLP,SUEZ,FR0010613471,0.45,2020-03-20
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.11,2019-09-13
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.57,2021-01-29
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",ELIOR GROUP,FR0011950732,1.02,2023-11-01
MARSHALL WACE LLP,AIR FRANCE-KLM,FR001400J770,0.80,2023-10-30
AHL PARTNERS LLP,LAGARDERE SCA,FR0000130213,0.49,2020-10-29
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,1.02,2023-01-17
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.60,2023-08-31
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.81,2023-04-25
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.93,2019-07-10
MARSHALL WACE LLP,AIR FRANCE-KLM,FR001400J770,0.84,2023-11-08
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.68,2021-12-09
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.94,2021-02-24
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.50,2020-08-04
MARSHALL WACE LLP,RENAULT,FR0000131906,1.38,2022-07-29
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.90,2023-02-02
"CADIAN CAPITAL MANAGEMENT, LLC","COMPAGNIE INDUSTRIELLE ET
FINANCIERE D'ENTREPRISES",FR0000066219,2.33,2013-04-22
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.86,2022-11-02
VOLEON CAPITAL MANAGEMENT LP,NAVYA,FR0013018041,0.88,2021-05-11
MARSHALL WACE LLP,RENAULT,FR0000131906,1.19,2023-06-12
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.82,2023-08-21
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,0.71,2019-02-04
CITADEL EUROPE LLP,KORIAN,FR0010386334,0.35,2021-09-01
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.04,2015-06-03
