"POSITION HOLDER
DETENTEUR DE LA POSITION","NOM DE LՃMETTEUR
NAME OF THE ISSUER",ISIN,"POSITION COURTE NETTE DETENUE EN %
NET SHORT POSITION SIZE IN PERCENTAGE","DATE DE POSITION (AAAA-MM-JJ)
POSITION DATE (YYYY-MM-DD)"
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.31,2022-05-24
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.90,2023-03-16
ASTARIS CAPITAL MANAGEMENT LLP,EUROPCAR MOBILITY GROUP,FR0012789949,0.00,2021-02-24
ASTARIS CAPITAL MANAGEMENT LLP,ATOS SE,FR0000051732,0.91,2023-08-23
MARSHALL WACE LLP,RENAULT,FR0000131906,1.52,2022-10-31
MARSHALL WACE LLP,RENAULT,FR0000131906,0.69,2023-09-21
STEADFAST CAPITAL MANAGEMENT LP.,PUBLICIS GROUPE SA,FR0000130577,0.57,2020-03-16
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.84,2023-08-23
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,0.90,2015-04-08
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.69,2022-11-24
CITADEL ADVISORS LLC,AKKA TECHNOLOGIES,FR0004180537,0.49,2020-11-25
AHL PARTNERS LLP,ERAMET,FR0000131757,0.39,2020-06-10
AHL PARTNERS LLP,CGG,FR0013181864,0.48,2020-03-04
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.03,2023-02-02
CITADEL ADVISORS LLC,KAUFMAN & BROAD SA,FR0004007813,0.49,2020-07-28
"D. E. SHAW & CO. (LONDON), LLP",UBISOFT ENTERTAINMENT,FR0000054470,0.89,2023-10-25
HBK INVESTMENTS L.P.,PEUGEOT S.A.,FR0000121501,1.43,2020-11-05
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.65,2022-03-09
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,1.96,2022-08-01
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,3.53,2023-10-27
"SCULPTOR CAPITAL MANAGEMENT
EUROPE LIMITED",SRP GROUPE,FR0013006558,0.00,2020-08-07
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.88,2023-10-16
VOLEON CAPITAL MANAGEMENT LP,EUROPCAR MOBILITY GROUP,FR0012789949,0.49,2020-11-30
GLADSTONE CAPITAL MANAGEMENT LLP,PUBLICIS GROUPE SA,FR0000130577,0.40,2021-04-01
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,2.80,2020-10-06
VOLEON CAPITAL MANAGEMENT LP,GAUSSIN S.A.,FR0013495298,0.44,2021-01-08
NATIXIS SA,SOITEC,FR0013227113,0.90,2022-08-01
"CARLSON CAPITAL, L.P.",EUTELSAT COMMUNICATIONS,FR0010221234,0.46,2021-02-04
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,1.17,2023-06-26
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,2.42,2023-11-01
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.93,2023-11-15
"ECHO STREET CAPITAL MANAGEMENT,
LLC",ALTEN,FR0000071946,0.46,2020-03-05
CAPITAL FUND MANAGEMENT SA,ERAMET,FR0000131757,0.51,2020-02-25
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.87,2023-10-31
STEADFAST CAPITAL MANAGEMENT LP.,PUBLICIS GROUPE SA,FR0000130577,0.64,2020-03-02
MARSHALL WACE LLP,TELEPERFORMANCE,FR0000051807,0.99,2023-10-30
"CANADA PENSION PLAN INVESTMENT
BOARD",VALLOUREC,FR0013506730,0.29,2020-06-12
AKO CAPITAL LLP,SPIE SA,FR0012757854,1.12,2023-09-14
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,0.72,2023-04-19
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,2.00,2022-10-13
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,0.88,2023-03-10
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.12,2023-11-06
FARALLON CAPITAL EUROPE LLP,PEUGEOT S.A.,FR0000121501,0.45,2020-08-11
"AQR CAPITAL MANAGEMENT, LLC",EUROFINS SCIENTIFIC SE,FR0000038259,0.49,2020-03-20
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,0.60,2018-10-30
B&G MASTER FUND PLC,PEUGEOT S.A.,FR0000121501,0.49,2020-11-16
"AQR CAPITAL MANAGEMENT, LLC",RENAULT,FR0000131906,0.49,2020-12-08
KINTBURY CAPITAL LLP,VALEO,FR0013176526,0.81,2023-11-02
GLADSTONE CAPITAL MANAGEMENT LLP,VALEO,FR0013176526,0.91,2023-10-13
NATIXIS SA,NEXANS,FR0000044448,0.63,2022-07-19
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.52,2022-04-26
GREENVALE CAPITAL LLP,EUROFINS SCIENTIFIC SE,FR0014000MR3,1.08,2023-02-24
MARSHALL WACE LLP,CGG,FR0013181864,0.87,2023-09-26
MARSHALL WACE LLP,EUROAPI,FR0014008VX5,0.70,2023-11-10
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.99,2022-11-30
GSA CAPITAL PARTNERS LLP,SMCP,FR0013214145,0.51,2023-10-31
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.97,2023-10-12
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.80,2022-12-01
WORLDQUANT LLC,LAGARDERE SCA,FR0000130213,0.48,2020-09-30
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.24,2019-10-28
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.32,2022-07-26
"JPMORGAN ASSET MANAGEMENT (UK)
LIMITED",EUTELSAT COMMUNICATIONS,FR0010221234,1.10,2023-06-20
MILLENNIUM CAPITAL PARTNERS LLP,FAURECIA,FR0000121147,0.49,2020-06-08
LAZARD ASSET MANAGEMENT LIMITED,NACON,FR0013482791,0.61,2022-02-21
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.53,2023-03-06
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",CGG,FR0013181864,1.15,2023-06-23
MARSHALL WACE LLP,RENAULT,FR0000131906,1.01,2022-04-08
"PUBLIC EQUITY PARTNERS
MANAGEMENT, L.P.",BOURBON,FR0004548873,1.31,2015-07-24
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,1.02,2023-04-13
"ADAGE CAPITAL MANAGEMENT, L.P.",CELLECTIS,FR0010425595,0.58,2023-11-07
AKO CAPITAL LLP,SPIE SA,FR0012757854,1.21,2023-10-12
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.20,2023-03-08
MARSHALL WACE LLP,RENAULT,FR0000131906,0.90,2023-11-13
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.81,2022-03-23
MARSHALL WACE LLP,ERAMET,FR0000131757,1.29,2020-02-17
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.65,2023-01-04
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,0.89,2023-09-21
MARSHALL WACE LLP,RENAULT,FR0000131906,1.40,2023-03-27
MARSHALL WACE LLP,CAPGEMINI,FR0000125338,0.51,2023-10-16
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.80,2020-01-31
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.45,2022-04-25
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.06,2023-03-24
PARIAN GLOBAL MANAGEMENT LP,MC PHY ENERGY,FR0011742329,0.32,2021-02-23
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,0.60,2019-01-29
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.08,2022-06-17
NATIXIS SA,NEXANS,FR0000044448,0.64,2022-07-27
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,1.01,2023-01-04
"HIGHBRIDGE CAPITAL MANAGEMENT,
LLC",NACON,FR0013482791,1.04,2021-11-16
NATIXIS SA,NEXITY,FR0010112524,0.76,2023-10-20
RENAISSANCE TECHNOLOGIES LLC,SCOR SE,FR0010411983,0.49,2022-05-25
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,0.90,2022-10-24
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.87,2023-05-04
HELIKON INVESTMENTS LIMITED,CLARIANE SE,FR0010386334,1.20,2023-06-27
"AQR CAPITAL MANAGEMENT, LLC",TECHNICOLOR,FR0010918292,0.47,2020-03-11
BNP PARIBAS SA,NACON,FR0013482791,0.49,2021-04-05
MARSHALL WACE LLP,TECHNICOLOR,FR0010918292,0.69,2020-01-03
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.92,2022-03-30
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.11,2023-02-28
"TIG ADVISORS, LLC",WORLDLINE,FR0011981968,0.00,2020-10-29
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,0.64,2022-03-01
CAPITAL FUND MANAGEMENT SA,CGG,FR0013181864,0.82,2021-06-28
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.69,2023-04-25
RAM ACTIVE INVESTMENTS SA,CGG,FR0013181864,0.49,2020-11-17
SCOPIA CAPITAL MANAGEMENT LP,RALLYE,FR0000060618,1.01,2019-03-21
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",JCDECAUX SA,FR0000077919,0.00,2020-11-30
LMR PARTNERS LLP,VALLOUREC,FR0013506730,0.78,2023-11-29
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.84,2023-10-16
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.24,2022-06-17
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.78,2023-01-25
"ADAGE CAPITAL MANAGEMENT, L.P.",CELLECTIS,FR0010425595,0.52,2023-01-18
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.39,2023-10-12
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR001400J770,1.00,2023-09-25
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.60,2023-10-20
CITADEL ADVISORS LLC,MAISONS DU MONDE,FR0013153541,0.69,2023-04-06
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,1.17,2019-11-15
D1 CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,0.68,2020-08-12
AKO CAPITAL LLP,ALSTOM,FR0010220475,1.50,2023-05-24
VOLEON CAPITAL MANAGEMENT LP,DBV TECHNOLOGIES,FR0010417345,0.49,2021-03-01
"QUANTITATIVE MANAGEMENT
ASSOCIATES LLC",NEXANS,FR0000044448,1.00,2013-10-17
"BLACKROCK INVESTMENT MANAGEMENT
(UK) LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,3.62,2022-06-07
MILLENNIUM CAPITAL PARTNERS LLP,REXEL,FR0010451203,1.72,2023-08-30
CITADEL ADVISORS EUROPE LIMITED,AIR FRANCE-KLM,FR0000031122,0.59,2023-02-24
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.08,2022-08-29
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,1.08,2022-10-04
CARLSON CAPITAL UK LLP,PEUGEOT S.A.,FR0000121501,0.00,2021-01-18
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.80,2023-09-29
CITADEL ADVISORS EUROPE LIMITED,ELIS,FR0012435121,0.95,2023-02-06
MILLENNIUM CAPITAL PARTNERS LLP,CASINO GUICHARD-PERRACHON,FR0000125585,0.60,2023-04-21
CAPITAL FUND MANAGEMENT,CGG,FR0013181864,0.92,2022-05-26
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.76,2022-10-18
MARSHALL WACE LLP,CAPGEMINI,FR0000125338,0.56,2023-11-03
TUDOR CAPITAL EUROPE LLP,AKKA TECHNOLOGIES,FR0004180537,0.09,2020-10-27
MARSHALL WACE LLP,RENAULT,FR0000131906,0.79,2023-09-18
"ARROWSTREET CAPITAL, LIMITED
PARTNERSHIP",GENFIT,FR0004163111,0.64,2023-10-20
DARSANA CAPITAL PARTNERS LP,EUTELSAT COMMUNICATIONS,FR0010221234,2.25,2022-10-18
"BLACKROCK INVESTMENT MANAGEMENT
UK LIMITED",CASINO GUICHARD-PERRACHON,FR0000125585,0.93,2018-06-05
MIRABELLA FINANCIAL SERVICES LLP,ATOS SE,FR0000051732,1.32,2022-10-21
"SCULPTOR CAPITAL MANAGEMENT
EUROPE LIMITED",GENFIT,FR0004163111,0.01,2021-03-09
AKO CAPITAL LLP,ALSTOM,FR0010220475,0.68,2022-09-28
"MILLENNIUM INTERNATIONAL
MANAGEMENT LP",KLEPIERRE,FR0000121964,0.00,2021-03-19
"QUBE RESEARCH & TECHNOLOGIES
LIMITED",ATOS SE,FR0000051732,1.11,2023-09-21
MELQART ASSET MANAGEMENT (UK) LTD,CASINO GUICHARD-PERRACHON,FR0000125585,0.61,2018-10-03
